trial_id,tunnel_id,ring_id,case_id,kind,k_y,per_ring_offsets,r_surface_min_ceiling_ref,gt_miou,best_so_far,regret_vs_ceiling,search_x,hough_threshold,hough_oblique_threshold,hough_horizontal_threshold,merge_distance_threshold,line_merge_distance,single_ring_visual_slot_snap_px,line_snap_tolerance_px,slot_inset_y,segmentation_slot_inset_y,agent_error,n_reclassified_by_r_filter,r_surface_min,r_surface_min_frac,r_surface_min_otsu_ref,k_y_frac,arc_width_entropy,order_branch,branch_is_minus,direction_score_plus,direction_score_minus,direction_margin,direction_select_enabled,det_k_count_match,det_k_confidence_avg,det_block_count_per_ring,det_y_coverage_pct,det_min_y_gap_px,det_y_order_consistency,det_ready_for_segmentation,det_guardrail_violations,bo_surrogate_mean,bo_surrogate_std,ei_value
0,5-5,258,5-5/r258,geometric_0,0.0,"{""0"": {""K"": 0.0, ""B1"": 664.2857142857143, ""A1"": 1328.5714285714287, ""A2"": 1992.8571428571431, ""A3"": 2657.1428571428573, ""A4"": 3321.428571428572, ""B2"": 3985.7142857142867}}",3.7349,0.1423308467460786,0.1423308467460786,0.7321691532539214,"[0.0, 0.0, 0.14285714285714288, 0.28571428571428575, 0.4285714285714286, 0.5714285714285715, 0.7142857142857144, 0.8571428571428573, 0.29333333333333333, 0.36363636363636365, 0.18181818181818182, 0.2, 0.0, 0.5]",37.0,37.0,50.0,3.0,3.0,20.0,20.0,0.0,0.0,False,0,3.6738,0.499867,3.157,0.0,1.9459101490553135,plus,False,0.7222222222273251,0.7222222222243135,3.0115909765981996e-12,True,True,1.0,True,100.0,664.1999999999998,1.0,True,[],,,
1,5-5,258,5-5/r258,geometric_1,0.0,"{""0"": {""K"": 0.0, ""B1"": 325.50000000000006, ""A1"": 1023.0, ""A2"": 1720.5, ""A3"": 2418.0, ""A4"": 3115.5, ""B2"": 3813.0000000000005}}",3.7349,0.18821867834817793,0.18821867834817793,0.6862813216518221,"[0.0, 0.0, 0.07, 0.22, 0.37, 0.52, 0.67, 0.8200000000000001, 0.29333333333333333, 0.36363636363636365, 0.18181818181818182, 0.2, 0.0, 0.5]",37.0,37.0,50.0,3.0,3.0,20.0,20.0,0.0,0.0,False,0,3.6738,0.499867,3.157,0.0,1.917651908306252,plus,False,3.825499999999999,3.4366111111111106,0.3888888888888884,True,True,1.0,True,100.0,325.5,1.0,True,[],,,
2,5-5,258,5-5/r258,intrinsic_r_otsu,2906.6939197117013,"{""0"": {""K"": 0.0, ""B1"": 3606.9384596401496, ""A1"": 1047.2134334562522, ""A2"": 1395.7732248371983, ""A3"": 4062.023521092618, ""A4"": 24.48366622992247, ""B2"": 3818.712145479863}}",3.7349,0.23243416520487548,0.23243416520487548,0.6420658347951246,"[0.625095466604667, 0.8972138009695755, 0.7756856902451935, 0.22520718999059186, 0.30016628491122543, 0.8735534453962619, 0.005265304565574724, 0.8212284183827663, 0.7970694287520462, 0.4679349528437208, 0.3030324268193135, 0.2784256121007733, 0.2548695876541246, 0.0]",75.0,75.0,61.0,4.3334,4.3334,25.8819,25.8819,6.3717,6.3717,False,0,3.5949,0.0,3.157,0.625095466604667,1.7020488428809706,plus,False,1.2753198567675919,1.2569161137013436,0.018403743066248257,True,True,1.0,True,100.0,24.5,0.0,True,[],,,
3,5-5,258,5-5/r258,random,2346.149404154483,"{""0"": {""K"": 0.0, ""B1"": 4629.076317969926, ""A1"": 3685.8779243439517, ""A2"": 2893.1334169014062, ""A3"": 4598.664686720765, ""A4"": 1001.1854467955351, ""B2"": 744.9859574389772}}",3.7349,0.06853398966963636,0.23243416520487548,0.6420658347951246,"[0.5045482589579533, 0.5534973520744925, 0.9955002834343927, 0.7926619192137531, 0.6221792294411627, 0.9889601476818849, 0.21530869823559895, 0.16021203385784455, 0.6125396042730308, 0.04394200796138337, 0.03568027877359614, 0.5148888202713703, 0.4662060253252891, 0.9171677731928523]",61.0,61.0,15.0,1.3925,1.3925,43.6167,43.6167,11.6552,11.6552,False,0,3.7396,0.916898,3.157,0.5045482589579533,1.8583562585459996,plus,False,-0.3987182945825119,-0.557121011126735,0.15840271654422305,True,True,1.0,True,100.0,20.90000000000009,0.0,True,[],,,
4,5-5,258,5-5/r258,random,2925.9020833831987,"{""0"": {""K"": 0.0, ""B1"": 2310.461474579795, ""A1"": 1150.9443874270883, ""A2"": 54.842218772652245, ""A3"": 894.6699695316945, ""A4"": 3217.949362100552, ""B2"": 932.8212665395276}}",3.7349,0.15484558061501755,0.23243416520487548,0.6420658347951246,"[0.6292262544910104, 0.5141176465995139, 0.49687343539350426, 0.24751492202733083, 0.01179402554250586, 0.19240214398531064, 0.6920321208818392, 0.2006067239869952, 0.3695363106022067, 0.0037342420520759534, 0.8300477298017456, 0.15446108106143985, 0.26759930456378545, 0.8803321539808286]",43.0,43.0,10.0,10.1305,10.1305,16.5846,16.5846,6.69,6.69,False,0,3.7338,0.880138,3.157,0.6292262544910104,1.8730249625200213,minus,True,1.4651391713753994,2.00715905319381,0.5420198818184105,True,True,1.0,True,100.0,38.09999999999991,0.0,True,[],,,
5,5-5,258,5-5/r258,random,2370.5272658881677,"{""0"": {""K"": 0.0, ""B1"": 2974.684826282747, ""A1"": 3449.2349052326354, ""A2"": 425.4545635431623, ""A3"": 2516.318769400673, ""A4"": 2361.1408987966274, ""B2"": 4051.728101621895}}",3.7349,0.12463268148848039,0.23243416520487548,0.6420658347951246,"[0.5097908098684232, 0.8471502463658693, 0.6397171669425262, 0.7417709473618571, 0.09149560506304566, 0.5411438213764888, 0.50777223630035, 0.8713393766928806, 0.3612640590141576, 0.5981840672072131, 0.05925164234550362, 0.3876318011107287, 0.32303634625820665, 0.15019972907045187]",42.0,42.0,76.0,1.6518,1.6518,34.0724,34.0724,8.0759,8.0759,False,0,3.6186,0.150017,3.157,0.5097908098684232,1.7352813753567913,plus,False,1.0888691935996375,0.9949212188572917,0.09394797474234584,True,True,1.0,True,100.0,155.10000000000002,0.0,True,[],,,
6,5-5,258,5-5/r258,random,3795.972182758702,"{""0"": {""K"": 0.0, ""B1"": 4551.17766251218, ""A1"": 2743.461372499338, ""A2"": 2813.5115803088083, ""A3"": 2966.6841006657446, ""A4"": 3145.4936337294657, ""B2"": 701.1642891329145}}",3.7349,0.09838488798359588,0.23243416520487548,0.6420658347951246,"[0.8163381038190757, 0.37944617155031246, 0.9787478844112216, 0.5899916930106103, 0.6050562538298513, 0.6379965807883322, 0.6764502438127883, 0.1507880191683687, 0.44031346718818754, 0.23956396182952333, 0.40249829810398163, 0.09670409393174562, 0.9678280510488214, 0.21500403735588003]",48.0,48.0,36.0,5.4275,5.4275,12.2528,12.2528,24.1957,24.1957,False,0,3.6289,0.215297,3.157,0.8163381038190757,1.4704178581757068,plus,False,1.296722533367341,0.19336970886627056,1.1033528245010704,True,True,1.0,True,100.0,70.09999999999991,0.0,True,[],,,
7,5-5,258,5-5/r258,random,3123.708006142475,"{""0"": {""K"": 0.0, ""B1"": 4064.458171595196, ""A1"": 3079.2985332738103, ""A2"": 612.0135435086216, ""A3"": 3929.595592066671, ""A4"": 4394.008995824155, ""B2"": 4203.213065111059}}",3.7349,0.0706440455981904,0.23243416520487548,0.6420658347951246,"[0.6717651626112849, 0.3004200814790703, 0.8740770261495044, 0.6622147383384538, 0.13161581580830573, 0.8450743208745529, 0.9449481711449795, 0.9039167881959268, 0.5697191478592772, 0.1454599537609269, 0.19246349496833237, 0.9279056847445244, 0.5523264876672638, 0.18055249844891164]",58.0,58.0,26.0,3.1171,3.1171,74.5929,74.5929,13.8082,13.8082,False,0,3.6234,0.180439,3.157,0.6717651626112849,1.7354254627337802,plus,False,0.45957729344948367,0.432233729012701,0.027343564436782652,True,True,1.0,True,100.0,134.89999999999964,0.0,True,[],,,
8,5-5,258,5-5/r258,random,4110.864558013585,"{""0"": {""K"": 0.0, ""B1"": 2649.078376303207, ""A1"": 1749.7384380041285, ""A2"": 1910.9420620306537, ""A3"": 1113.6248389705786, ""A4"": 176.96638311426176, ""B2"": 4074.4174577081103}}",3.7349,0.07959201687159376,0.23243416520487548,0.6420658347951246,"[0.8840568941964699, 0.6415717052224807, 0.5696942744738079, 0.3762878361299201, 0.41095528215712984, 0.23948921268184487, 0.03805728669123909, 0.876218808109271, 0.4677302168140961, 0.5476351992137353, 0.3221633097802251, 0.7513249198549279, 0.025196870801760363, 0.37218527256520395]",50.0,50.0,70.0,4.5438,4.5438,61.3494,61.3494,0.6299,0.6299,False,0,3.6537,0.372476,3.157,0.8840568941964699,1.7244218378159588,minus,True,1.8766001655914537,2.7294812044379104,0.8528810388464567,True,True,1.0,True,100.0,161.20000000000005,0.0,True,[],,,
9,5-5,258,5-5/r258,random,141.12886888611908,"{""0"": {""K"": 0.0, ""B1"": 4497.23929459776, ""A1"": 3058.587394679092, ""A2"": 1991.224145711088, ""A3"": 2435.3915017837335, ""A4"": 4058.562819826201, ""B2"": 1600.5796015315218}}",3.7349,0.1911204297667768,0.23243416520487548,0.6420658347951246,"[0.03035029438411163, 0.12289210220500935, 0.9671482353973677, 0.6577607300385144, 0.4282202463894813, 0.5237401079104803, 0.8728092085647744, 0.3442106669960262, 0.5902909822897147, 0.6836843733395437, 0.35541377702351207, 0.5190984864959901, 0.7652473832785226, 0.9091793139905502]",59.0,59.0,85.0,4.9096,4.9096,43.9324,43.9324,19.1312,19.1312,False,0,3.7384,0.909293,3.157,0.03035029438411163,1.8142393329605415,plus,False,-1.8522850456967572,-2.06748188266673,0.2151968369699726,True,True,1.0,True,100.0,152.70000000000073,0.0,True,[],,,
